fold,split_role,building_id,grid_id,population,area_total,use_main_code,floors_above,floors_below,height_m,approved_year,use_main_code_int,land_use_residential,land_use_commercial,land_use_industrial,business_density_50m,factory_within_100m,target_population
4,fold_4_train,1990173131444385672000000000,다사289391,267.0,350.23,01000,2,1,101.65,1990,1000,1,0,0,4,0,8.979702347185434
4,fold_4_train,1990173133014385834500000000,다사289391,267.0,277.17,01000,2,1,0.0,1990,1000,1,0,0,6,0,7.1064845946075055
4,fold_4_train,1990173133084383700600000000,다사289389,147.0,434.91,04000,3,1,0.0,1990,4000,0,1,0,60,0,0.4151770850414078
4,fold_4_train,1990173133324382620600000000,다사289388,214.0,302.22,01000,2,1,0.0,1990,1000,1,0,0,8,0,7.933386280571344
4,fold_4_train,1990173134674384451700000000,다사289390,207.0,347.36,01000,3,1,0.0,1990,1000,1,0,0,26,0,7.404426559356139
4,fold_4_train,1990173135114384555100000000,다사289390,207.0,298.75,01000,2,1,0.0,1990,1000,1,0,0,19,0,6.368241693366094
4,fold_4_train,1990173136934381804200000000,다사289387,237.0,266.25,01000,2,1,0.0,1990,1000,1,0,0,22,0,6.325563074355826
4,fold_4_train,1990173137634405396800000000,다사290411,293.0,327.56,02000,3,1,0.0,1990,2000,1,0,0,1,0,7.679273940956694
4,fold_4_train,1990173138694384197700000000,다사289390,207.0,364.41,01000,3,1,0.0,1990,1000,1,0,0,41,0,7.76786930704448
4,fold_4_train,1990173138994381997700000000,다사289387,237.0,265.64,01000,2,1,0.0,1990,1000,1,0,0,12,0,6.31107070449533
4,fold_4_train,1990173140604386212200000000,다사289392,122.0,263.35,01000,2,1,0.0,1990,1000,1,0,0,23,0,5.825051909513141
4,fold_4_train,1990173141354383305700000000,다사289389,147.0,418.12,01000,3,1,176.01,1990,1000,1,0,0,40,0,7.9829777562030495
4,fold_4_train,1990173142054386363300000000,다사289392,122.0,401.72,01000,3,1,0.0,1990,1000,1,0,0,21,0,8.88566490635891
4,fold_4_train,1990173143754385545900000000,다사289391,267.0,292.0,01000,2,1,0.0,1990,1000,1,0,0,4,0,7.486717543837326
4,fold_4_train,1990173147024385984300000000,다사290391,134.0,391.05,01000,3,1,0.0,1990,1000,1,0,0,17,0,7.186675094896445
4,fold_4_train,1990173147674405448300000000,다사290411,293.0,327.56,02000,3,1,0.0,1990,2000,1,0,0,2,0,7.679273940956694
4,fold_4_train,1990173149474390244100000000,다사290396,303.0,324.84,02000,3,1,0.0,1990,2000,1,0,0,2,1,9.74352816491982
4,fold_4_train,1990173150784348492000000000,,,1909.4,17000,3,0,0.0,1990,17000,0,0,1,0,1,0.0
